date,Liberia,Sierra Leone,Guinea
2014-07-01,11,9,0
2014-07-02,4,9,0
2014-07-03,4,9,0
2014-07-04,3,9,0
2014-07-05,3,9,0
2014-07-06,3,13,0
2014-07-07,3,13,0
2014-07-08,3,13,0
2014-07-09,3,13,0
2014-07-10,4,13,0
2014-07-11,4,13,0
2014-07-12,4,12,0
2014-07-13,4,12,0
2014-07-14,4,12,0
2014-07-15,4,12,0
2014-07-16,4,5,0
2014-07-17,4,5,0
2014-07-18,0,0,0
2014-07-19,22,5,0
2014-07-20,5,5,0
2014-07-21,5,5,0
2014-07-22,5,5,0
2014-07-23,5,5,0
2014-07-24,5,25,0
2014-07-25,25,25,4
2014-07-26,0,25,4
2014-07-27,0,25,4
2014-07-28,23,2,8
2014-07-29,23,2,8
2014-07-30,23,2,8
2014-07-31,23,2,8
2014-08-01,23,20,6
2014-08-02,23,20,6
2014-08-03,38,36,6
2014-08-04,38,36,6
2014-08-05,24,22,5
2014-08-06,24,22,5
2014-08-07,19,13,0
2014-08-08,19,13,0
2014-08-09,15,11,0
2014-08-10,15,11,5
2014-08-11,15,11,5
2014-08-12,71,33,4
2014-08-13,58,13,4
2014-08-14,58,13,4
2014-08-15,23,13,8
2014-08-16,23,13,8
2014-08-17,23,13,8
2014-08-18,23,13,8
2014-08-19,23,13,8
2014-08-20,89,16,23
2014-08-21,89,16,23
2014-08-22,0,16,5
2014-08-23,0,16,5
2014-08-24,59,16,5
2014-08-25,59,16,5
2014-08-26,59,16,5
2014-08-27,59,16,5
2014-08-28,59,16,5
2014-08-29,45,30,10
2014-08-30,45,30,10
2014-08-31,45,30,10
2014-09-01,45,30,10
2014-09-02,45,30,27
2014-09-03,45,30,27
2014-09-04,45,30,27
2014-09-05,64,30,13
2014-09-06,64,30,13
2014-09-07,64,30,13
2014-09-08,64,30,13
2014-09-09,4,30,13
2014-09-10,64,30,14
2014-09-11,64,30,14
2014-09-12,64,30,14
2014-09-13,64,30,14
2014-09-14,64,30,14
2014-09-15,64,30,14
2014-09-16,64,30,14
2014-09-17,0,9,0
2014-09-18,303,53,6
2014-09-19,78,35,16
2014-09-20,78,35,16
2014-09-21,78,35,16
2014-09-22,78,35,16
2014-09-23,129,26,7
2014-09-24,129,26,7
2014-09-25,0,26,0
2014-09-26,35,26,10
2014-09-27,35,26,10
2014-09-28,35,26,10
2014-09-29,35,26,10
2014-09-30,35,26,10
2014-10-01,238,283,83
2014-10-02,69,66,21
2014-10-03,69,66,21
2014-10-04,18,70,19
2014-10-05,18,70,19
2014-10-06,18,70,19
2014-10-07,18,70,19
2014-10-08,18,70,19
2014-10-09,76,80,26
2014-10-10,76,80,26
2014-10-11,34,60,12
2014-10-12,34,60,12
2014-10-13,34,60,12
2014-10-14,34,60,12
2014-10-15,34,60,12
2014-10-16,6,79,18
2014-10-17,6,79,18
2014-10-18,80,49,18
2014-10-19,80,49,18
2014-10-20,80,49,18
2014-10-21,80,49,18
2014-10-22,80,49,18
2014-10-23,0,49,0
2014-10-24,0,95,6
2014-10-25,0,95,6
2014-10-26,119,334,15
2014-10-27,119,334,15
2014-10-28,119,334,15
2014-10-29,119,334,15
2014-10-30,119,17,15
2014-10-31,119,17,15
2014-11-01,119,17,15
2014-11-02,119,17,15
2014-11-03,119,17,15
2014-11-04,119,17,15
2014-11-05,119,3,15
2014-11-06,119,3,15
2014-11-07,119,3,15
2014-11-08,119,3,23
2014-11-09,119,3,23
2014-11-10,119,3,23
2014-11-11,119,3,23
2014-11-12,119,3,23
2014-11-13,35,109,20
2014-11-14,35,109,20
2014-11-15,35,97,10
2014-11-16,35,97,10
2014-11-17,35,97,10
2014-11-18,35,97,10
2014-11-19,35,97,10
2014-11-20,6,58,38
2014-11-21,6,58,38
2014-11-22,17,81,17
2014-11-23,17,81,17
2014-11-24,17,81,17
2014-11-25,17,81,17
2014-11-26,17,81,17
2014-11-27,38,101,5
2014-11-28,38,101,5
2014-11-29,130,102,5
2014-11-30,130,102,5
2014-12-01,130,102,5
2014-12-02,0,203,5
2014-12-03,18,0,9
2014-12-04,18,0,9
2014-12-05,18,0,9
2014-12-06,9,0,30
2014-12-07,9,243,30
2014-12-08,9,243,30
2014-12-09,0,24,4
2014-12-10,0,24,4
2014-12-11,46,166,47
2014-12-12,0,55,15
2014-12-13,10,8,13
2014-12-14,10,8,13
2014-12-15,10,187,13
2014-12-16,0,41,11
2014-12-17,0,41,11
2014-12-18,11,201,18
2014-12-19,11,201,18
2014-12-20,3,60,39
2014-12-21,3,60,39
2014-12-22,3,60,39
2014-12-23,0,65,26
2014-12-24,32,0,0
2014-12-25,0,99,16
2014-12-26,0,99,16
2014-12-27,38,68,21
2014-12-28,38,68,21
2014-12-29,38,68,21
2014-12-30,0,37,11
2014-12-31,41,0,1
2015-01-01,0,0,0
2015-01-02,0,81,23
2015-01-03,32,81,13
2015-01-04,32,81,13
2015-01-05,32,81,13
2015-01-06,21,64,6
2015-01-07,21,64,6
2015-01-08,53,64,6
2015-01-09,53,64,6
2015-01-10,5,21,2
2015-01-11,5,21,2
2015-01-12,5,21,2
2015-01-13,0,0,0
2015-01-14,53,30,7
2015-01-15,31,26,11
2015-01-16,0,36,8
2015-01-17,29,34,11
2015-01-18,29,34,11
2015-01-19,29,34,11
2015-01-20,29,34,11
2015-01-21,0,17,0
2015-01-22,46,22,2
2015-01-23,0,38,0
2015-01-24,0,30,12
2015-01-25,0,30,12
2015-01-26,0,30,12
2015-01-27,98,27,8
2015-01-28,0,0,0
2015-01-29,21,19,8
2015-01-30,0,24,8
2015-01-31,8,48,8
2015-02-01,8,48,8
2015-02-02,8,48,8
2015-02-03,61,33,16
2015-02-04,16,0,0
2015-02-05,0,16,11
2015-02-06,0,36,2
2015-02-07,45,37,18
2015-02-08,45,37,18
2015-02-09,45,37,18
2015-02-10,0,29,2
2015-02-11,0,10,12
2015-02-12,0,10,12
2015-02-13,50,33,13
2015-02-14,25,29,6
2015-02-15,25,29,6
2015-02-16,25,29,6
2015-02-17,0,29,7
2015-02-18,0,0,0
2015-02-19,44,26,6
2015-02-20,44,26,6
2015-02-21,44,0,11
2015-02-22,44,0,11
2015-02-23,44,0,11
2015-02-24,9,53,8
2015-02-25,9,53,8
2015-02-26,9,53,8
2015-02-27,9,53,8
2015-02-28,0,12,2
2015-03-01,0,12,2
2015-03-02,0,12,2
2015-03-03,11,29,10
2015-03-04,11,29,10
2015-03-05,11,31,18
2015-03-06,11,20,11
2015-03-07,11,23,8
2015-03-08,11,23,8
2015-03-09,11,23,8
2015-03-10,0,33,12
2015-03-11,0,0,0
2015-03-12,0,58,45
2015-03-13,139,19,1
2015-03-14,0,15,14
2015-03-15,0,15,14
2015-03-16,0,15,14
2015-03-17,44,9,16
2015-03-18,0,0,0
2015-03-19,29,28,6
2015-03-20,0,15,6
2015-03-21,12,11,6
2015-03-22,12,11,6
2015-03-23,12,11,6
2015-03-24,3,12,9
2015-03-25,3,0,0
2015-03-26,3,25,30
2015-03-27,0,23,7
2015-03-28,0,18,6
2015-03-29,0,18,6
2015-03-30,0,18,6
2015-03-31,110,31,7
2015-04-01,0,0,0
2015-04-02,0,48,2
2015-04-03,30,19,4
2015-04-04,30,19,4
2015-04-05,30,19,4
2015-04-06,30,19,4
2015-04-07,30,19,4
2015-04-08,0,19,0
2015-04-09,0,19,0
2015-04-10,0,15,9
2015-04-11,0,6,5
2015-04-12,0,6,5
2015-04-13,0,6,5
2015-04-14,0,13,7
2015-04-15,180,0,0
2015-04-16,0,22,18
2015-04-17,0,21,1
2015-04-18,0,4,1
2015-04-19,0,4,1
2015-04-20,0,4,1
2015-04-21,0,9,1
2015-04-22,170,2,1
2015-04-23,0,27,1
2015-04-24,0,19,1
2015-04-25,0,16,0
2015-04-26,0,16,0
2015-04-27,0,16,0
2015-04-28,110,9,0
2015-04-29,0,0,0
2015-04-30,0,16,0
2015-05-01,0,11,0
2015-05-02,0,9,2
2015-05-03,0,9,2
2015-05-04,0,9,2
2015-05-05,185,14,2
2015-05-06,57,0,2
2015-05-07,0,30,3
2015-05-08,0,22,0
2015-05-09,13,9,1
2015-05-10,13,9,1
2015-05-11,13,9,1
2015-05-12,0,4,1
2015-05-13,0,0,1
2015-05-14,0,13,18
2015-05-15,0,4,4
2015-05-16,20,17,2
2015-05-17,20,17,2
2015-05-18,20,17,2
2015-05-19,0,39,9
2015-05-20,0,0,0
2015-05-21,0,24,1
2015-05-22,0,10,1
2015-05-23,0,10,1
2015-05-24,0,10,1
2015-05-25,0,10,1
2015-05-26,0,10,1
2015-05-27,0,0,0
2015-05-28,0,29,1
2015-05-29,0,14,1
2015-05-30,0,14,1
2015-05-31,0,14,1
2015-06-01,0,14,1
2015-06-02,0,14,1
2015-06-03,0,14,1
2015-06-04,0,14,1
2015-06-05,0,20,9
2015-06-06,0,8,1
2015-06-07,0,8,1
2015-06-08,0,8,1
2015-06-09,0,17,1
2015-06-10,0,0,0
2015-06-11,0,10,4
2015-06-12,0,21,3
2015-06-13,0,5,0
2015-06-14,0,5,0
2015-06-15,0,5,0
2015-06-16,0,18,1
2015-06-17,0,0,3
2015-06-18,0,25,3
2015-06-19,0,22,3
2015-06-20,0,13,3
2015-06-21,0,13,3
2015-06-22,0,13,3
2015-06-23,0,8,20
2015-06-24,0,0,0
2015-06-25,0,11,1
2015-06-26,0,11,1
2015-06-27,0,11,1
2015-06-28,0,11,1
2015-06-29,0,11,1
2015-06-30,0,4,5
2015-07-01,0,0,0
2015-07-02,0,10,3
2015-07-03,1,5,3
2015-07-04,1,5,3
2015-07-05,1,5,3
2015-07-06,1,5,3
2015-07-07,0,5,3
2015-07-08,0,0,0
2015-07-09,2,14,1
2015-07-10,0,8,1
2015-07-11,0,8,1
2015-07-12,0,8,1
2015-07-13,0,8,1
2015-07-14,1,8,6
2015-07-15,0,0,0
2015-07-16,0,0,2
2015-07-17,0,0,8
2015-07-18,0,10,0
2015-07-19,0,10,0
2015-07-20,0,10,0
2015-07-21,0,7,0
2015-07-22,0,7,0
2015-07-23,0,7,0
2015-07-24,0,2,0
2015-07-25,0,6,0
2015-07-26,0,6,0
2015-07-27,0,6,0
2015-07-28,0,6,0
2015-07-29,0,0,0
2015-07-30,0,89,0
2015-07-31,0,8,0
2015-08-01,0,5,0
2015-08-02,0,5,0
2015-08-03,0,5,0
2015-08-04,0,4,0
2015-08-05,0,0,0
2015-08-06,0,20,0
2015-08-07,0,2,0
2015-08-08,0,12,0
2015-08-09,0,12,0
2015-08-10,0,12,0
2015-08-11,0,5,0
2015-08-12,0,0,0
2015-08-13,0,14,0
2015-08-14,0,1,0
2015-08-15,0,1,0
2015-08-16,0,1,0
2015-08-17,0,1,0
2015-08-18,0,5,0
2015-08-19,0,0,0
2015-08-20,0,24,6
2015-08-21,0,15,0
2015-08-22,0,1,0
2015-08-23,0,1,0
2015-08-24,0,1,0
2015-08-25,0,3,0
2015-08-26,0,0,0
2015-08-27,0,41,5
2015-08-28,0,4,0
2015-08-29,0,5,0
2015-08-30,0,5,0
2015-08-31,0,5,0
2015-09-01,0,0,0
2015-09-02,0,6,0
2015-09-03,0,29,0
2015-09-04,0,1,0
2015-09-05,0,10,0
2015-09-06,0,10,0
2015-09-07,0,10,0
2015-09-08,0,13,0
2015-09-09,0,0,0
2015-09-10,0,14,0
2015-09-11,0,6,0
2015-09-12,0,6,0
2015-09-13,0,6,0
2015-09-14,0,6,0
2015-09-15,0,32,0
2015-09-16,0,0,0
2015-09-17,0,23,0
2015-09-18,0,6,0
2015-09-19,0,8,0
2015-09-20,0,8,0
2015-09-21,0,8,0
2015-09-22,0,12,3
2015-09-23,0,0,0
2015-09-24,0,23,1
2015-09-25,0,9,0
2015-09-26,0,13,0
2015-09-27,0,13,0
2015-09-28,0,13,0
2015-09-29,0,17,0
2015-09-30,0,0,0
2015-10-01,0,17,0
2015-10-02,0,3,0
2015-10-03,0,3,0
2015-10-04,0,3,0
2015-10-05,0,3,0
2015-10-06,0,4,0
2015-10-07,0,0,0
2015-10-08,0,11,0
2015-10-09,0,1,0
2015-10-10,0,7,0
2015-10-11,0,7,0
2015-10-12,0,7,0
2015-10-13,0,4,0
2015-10-14,0,0,0
2015-10-15,0,10,0
2015-10-16,0,0,0
2015-10-17,0,2,0
2015-10-18,0,2,0
2015-10-19,0,2,0
2015-10-20,0,2,0
2015-10-21,0,0,0
2015-10-22,0,10,0
2015-10-23,0,10,0
2015-10-24,0,10,0
2015-10-25,0,10,0
2015-10-26,0,10,0
2015-10-27,0,9,0
2015-10-28,0,0,0
2015-10-29,0,5,0
2015-10-30,0,1,0
2015-10-31,0,3,0
2015-11-01,0,3,0
2015-11-02,0,3,0
2015-11-03,0,11,0
2015-11-04,0,0,0
2015-11-05,0,15,0
2015-11-06,0,5,0
2015-11-07,0,4,0
2015-11-08,0,4,0
2015-11-09,0,4,0
2015-11-10,0,0,0
2015-11-11,0,0,0
2015-11-12,0,0,0
2015-11-13,0,0,0
2015-11-14,0,0,0
2015-11-15,0,0,0
2015-11-16,0,0,0
2015-11-17,0,0,0
2015-11-18,0,0,0
2015-11-19,0,0,0
2015-11-20,0,0,0
2015-11-21,0,0,0
2015-11-22,0,0,0
2015-11-23,0,0,0
2015-11-24,0,0,0
2015-11-25,0,0,0
2015-11-26,0,0,0
2015-11-27,0,0,0
2015-11-28,0,0,0
2015-11-29,0,0,0
2015-11-30,0,0,0
2015-12-01,0,0,0
2015-12-02,0,0,0
2015-12-03,0,0,0
2015-12-04,0,0,0
2015-12-05,0,0,0
2015-12-06,0,0,0
2015-12-07,0,0,0
2015-12-08,0,0,0
2015-12-09,0,0,0
2015-12-10,0,0,0
2015-12-11,0,0,0
2015-12-12,0,0,0
2015-12-13,0,0,0
2015-12-14,0,0,0
2015-12-15,0,0,0
2015-12-16,0,0,0
2015-12-17,0,0,0
2015-12-18,0,0,0
2015-12-19,0,0,0
2015-12-20,0,0,0
2015-12-21,0,0,0
2015-12-22,0,0,0
2015-12-23,0,0,0
2015-12-24,0,0,0
2015-12-25,0,0,0
2015-12-26,0,0,0
2015-12-27,0,0,0
2015-12-28,0,0,0
2015-12-29,0,0,0
2015-12-30,0,0,0
2015-12-31,0,0,0
2016-01-01,0,0,0
2016-01-02,0,0,0
2016-01-03,0,0,0
2016-01-04,0,0,0
2016-01-05,0,0,0
2016-01-06,0,0,0
2016-01-07,0,0,0
2016-01-08,0,0,0
2016-01-09,0,0,0
2016-01-10,0,0,0
2016-01-11,0,0,0
2016-01-12,0,0,0
2016-01-13,0,0,0
2016-01-14,0,0,0
2016-01-15,0,0,0
2016-01-16,0,0,0
2016-01-17,0,0,0
2016-01-18,0,0,0
2016-01-19,0,0,0
2016-01-20,0,0,0
2016-01-21,0,0,0
2016-01-22,0,0,0
2016-01-23,0,0,0
2016-01-24,0,0,0
2016-01-25,0,0,0
2016-01-26,0,0,0
2016-01-27,0,0,0
2016-01-28,0,0,0
2016-01-29,0,0,0
2016-01-30,0,0,0
2016-01-31,0,0,0
2016-02-01,0,0,0
2016-02-02,0,0,0
2016-02-03,0,0,0
